model_id,location,origin_date,horizon,target_end_date,target,output_type,output_type_id,value
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.1,0.5992296279827578
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.15,0.698345403591978
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.2,0.7115308487877243
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.25,0.7734686941211992
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.3,0.8036930493807823
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.35,0.8429102300542026
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.4,0.893848085855202
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.45,0.9168181998961766
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.5,0.9630211373356211
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.55,1.0012524971049845
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.6,1.0334380860877763
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.65,1.0856016070952657
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.7,1.156346566765215
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.75,1.3076164623693622
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.8,1.4142541429790803
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.85,1.4864093895040469
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.9,1.6910905233279485
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.95,1.8488756421008767
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.975,2.0377021502147836
nfidd-diff,HHS Region 2,2016-03-12,3,2016-04-02,ili perc,quantile,0.99,2.223754585582429
nfidd-diff,HHS Region 2,2016-03-12,4,2016-04-09,ili perc,quantile,0.01,0.3389540764955683
nfidd-diff,HHS Region 2,2016-03-12,4,2016-04-09,ili perc,quantile,0.025,0.4434162508381487
nfidd-diff,HHS Region 2,2016-03-12,4,2016-04-09,ili perc,quantile,0.05,0.5175729826617353
nfidd-diff,HHS Region 2,2016-03-12,4,2016-04-09,ili perc,quantile,0.1,0.5992296277626653
nfidd-diff,HHS Region 2,2016-03-12,4,2016-04-09,ili perc,quantile,0.15,0.6983454035720622
nfidd-diff,HHS Region 2,2016-03-12,4,2016-04-09,ili perc,quantile,0.2,0.711530848802673
nfidd-diff,HHS Region 2,2016-03-12,4,2016-04-09,ili perc,quantile,0.25,0.7734686941257599
nfidd-diff,HHS Region 2,2016-03-12,4,2016-04-09,ili perc,quantile,0.3,0.803693049375279
nfidd-diff,HHS Region 2,2016-03-12,4,2016-04-09,ili perc,quantile,0.35,0.842910230051446
nfidd-diff,HHS Region 2,2016-03-12,4,2016-04-09,ili perc,quantile,0.4,0.8938480859373739
nfidd-diff,HHS Region 2,2016-03-12,4,2016-04-09,ili perc,quantile,0.45,0.916818199922168
